
2024/01/28 (15:16:11) | ===> btop++ v.1.3.0
2024/01/28 (15:16:11) | WARNING: failed to get battery

2024/01/28 (15:19:00) | ===> btop++ v.1.3.0
2024/01/28 (15:19:00) | WARNING: failed to get battery

2024/01/28 (18:20:46) | ===> btop++ v.1.3.0
2024/01/28 (18:20:46) | WARNING: failed to get battery

2024/01/29 (05:32:36) | ===> btop++ v.1.3.0
2024/01/29 (05:32:36) | WARNING: failed to get battery

2024/01/30 (15:12:12) | ===> btop++ v.1.3.0
2024/01/30 (15:12:12) | WARNING: failed to get battery

2024/02/05 (23:39:50) | ===> btop++ v.1.3.0
2024/02/05 (23:39:50) | WARNING: failed to get battery

2024/02/09 (23:25:49) | ===> btop++ v.1.3.0
2024/02/09 (23:25:49) | WARNING: failed to get battery

2024/02/10 (11:45:44) | ===> btop++ v.1.3.0
2024/02/10 (11:45:44) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/02/10 (11:45:50) | ===> btop++ v.1.3.0
2024/02/10 (11:45:50) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/02/10 (11:46:03) | ===> btop++ v.1.3.0
2024/02/10 (11:46:03) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2024/02/11 (09:00:46) | ===> btop++ v.1.3.0
2024/02/11 (09:00:46) | WARNING: failed to get battery

2024/02/12 (12:58:27) | ===> btop++ v.1.3.0
2024/02/12 (12:58:27) | WARNING: failed to get battery

2024/02/13 (22:56:23) | ===> btop++ v.1.3.2
2024/02/13 (22:56:23) | WARNING: failed to get battery

2024/02/13 (23:34:09) | ===> btop++ v.1.3.2
2024/02/13 (23:34:09) | WARNING: failed to get battery

2024/02/14 (10:37:38) | ===> btop++ v.1.3.2
2024/02/14 (10:37:38) | WARNING: failed to get battery
